380000,GD cấp 1 Tp Điện Biên Phủ,"Đường 7-5, Phường Mường Thanh, Thành phố Điện Biên Phủ"
380100,KT cấp 1 Tp Điện Biên Phủ,"Đường 7-5, Phường Mường Thanh, Thành phố Điện Biên Phủ"
381100,GD cấp 3 Him Lam,"Đường 7-5, Phường Him Lam, Thành phố Điện Biên Phủ"
381150,BĐVHX Thanh Minh,"Bản Co Củ, Xã Thanh Minh, Thành phố Điện Biên Phủ"
381170,GD cấp 3 Thanh Bình,"Đường Trần Đăng Ninh, Phường Thanh Bình, Thành phố Điện Biên Phủ"
381220,GD cấp 3 Thanh Trường,"Tổ Dân Phố 10, Phường Thanh Trường, Thành phố Điện Biên Phủ"
381260,BĐVHX Noong Bua,"Thôn Bản Noong Bua, Phường Noong Bua, Thành phố Điện Biên Phủ"
381400,GD cấp 2 Điện Biên,"Tổ Dân Phố 6, Thị Trấn Mường Thanh, Huyện Điện Biên"
381410,BĐVHX Thanh Xương,"Bản Bánh, Xã Thanh Xương, Huyện Điện Biên"
381430,BĐVHX Mường Phăng,"Bản Trung Tâm, Xã Mường Phăng, Huyện Điện Biên"
381480,KT cấp 2 Điện Biên,"Tổ Dân Phố 6, Thị Trấn Mường Thanh, Huyện Điện Biên"
381490,BĐVHX Nà Tấu,"Bản Tà Cáng 2, Xã Nà Tấu, Huyện Điện Biên"
381530,BĐVHX Mường Pồn,"Bản Mường Pồn 1, Xã Mường Pồn, Huyện Điện Biên"
381550,BĐVHX Thanh Nưa,"Bản Nậm Ty 1, Xã Thanh Nưa, Huyện Điện Biên"
381570,BĐVHX Thanh Luông,"Bản Pe Nọi 10a, Xã Thanh Luông, Huyện Điện Biên"
381600,BĐVHX Thanh Hưng,"Đội 13, Xã Thanh Hưng, Huyện Điện Biên"
381620,BĐVHX Thanh Chăn,"Đội 7 Thôn Thanh Hồng, Xã Thanh Chăn, Huyện Điện Biên"
381640,BĐVHX Thanh Yên,"Bản Việt Yên 4a, Xã Thanh Yên, Huyện Điện Biên"
381680,BĐVHX Pa Thơm,"Bản Pa Thơm, Xã Pa Thơm, Huyện Điện Biên"
381690,BĐVHX Noong Luống,"Bản A2, Xã Noong Luống, Huyện Điện Biên"
381730,BĐVHX Sam Mứn,"Thôn Pom Lót 5, Xã Sam Mứn, Huyện Điện Biên"
381760,BĐVHX Na Ư,"Bản Na Ư, Xã Na Ư, Huyện Điện Biên"
381770,BĐVHX Mường Nhà,"Bản Xôm, Xã Mường Nhà, Huyện Điện Biên"
381800,BĐVHX Mường Lói,"Bản Huổi Cánh, Xã Mường Lói, Huyện Điện Biên"
381810,BĐVHX Núa Ngam,"Bản Tân Ngam, Xã Núa Ngam, Huyện Điện Biên"
381830,GD cấp 3 Bản Phủ,"Bản Phiêng Cá, Xã Noong Hẹt, Huyện Điện Biên"
381831,BĐVHX Noong Hẹt,"Bản Bông A, Xã Noong Hẹt, Huyện Điện Biên"
381860,BĐVHX Thanh An,"Bản Thanh Bình, Xã Thanh An, Huyện Điện Biên"
381880,BĐVHX Nà Nhạn,"Bản Nà Nhạn 1, Xã Nà Nhạn, Huyện Điện Biên"
382000,GD cấp 2 Điện Biên Đông,"Tổ Dân Cư Số 2, Thị trấn Điện Biên Đông, Huyện Điện Biên Đông"
382010,BĐVHX Na Son,"Bản Na Phát A, Xã Na Son, Huyện Điện Biên Đông"
382030,KT cấp 2 Điện Biên Đông,"Tổ Dân Cư Số 2, Thị trấn Điện Biên Đông, Huyện Điện Biên Đông"
382040,BĐVHX Xa Dung,"Bản Xa Dung B, Xã Xa Dung, Huyện Điện Biên Đông"
382070,BĐVHX Pú Nhi,"Bản Pú Nhi A, Xã Pú Nhi, Huyện Điện Biên Đông"
382110,BĐVHX Keo Lôm,"Bản Keo Lôm 1, Xã Keo Lôm, Huyện Điện Biên Đông"
382140,BĐVHX Phì Nhừ,"Bản Suối Lư, Xã Phì Nhừ, Huyện Điện Biên Đông"
382170,BĐVHX Phình Giàng,"Bản Xa Pua B, Xã Phình Giàng, Huyện Điện Biên Đông"
382210,BĐVHX Háng Lìa,"Bản Háng Lìa, Xã Háng Lìa, Huyện Điện Biên Đông"
382240,BĐVHX Mường Luân,"Bản Trung Tâm, Xã Mường Luân, Huyện Điện Biên Đông"
382270,BĐVHX Luân Giói,"Bản Giói A, Xã Luân Giới, Huyện Điện Biên Đông"
382300,BĐVHX Chiềng Sơ,"Bản Kéo, Xã Chiềng Sơ, Huyện Điện Biên Đông"
382340,BĐVHX Noong U,"Bản Tìa Ló A, Xã Nong U, Huyện Điện Biên Đông"
382351,BĐVHX Pú Hồng,"Bản Pú Hồng A, Xã Pú Hồng, Huyện Điện Biên Đông"
382360,BĐVHX Tìa Dình,"Bản Tìa Dình A, Xã Tìa Dình, Huyện Điện Biên Đông"
382500,GD cấp 2 Tuần Giáo,"Khu phố Tân Giang, Thị Trấn Tuần Giáo, Huyện Tuần Giáo"
382520,KT cấp 2 Tuần Giáo,"Khu phố Tân Giang, Thị Trấn Tuần Giáo, Huyện Tuần Giáo"
382530,BĐVHX Quài Cang,"Bản Cong, Xã Quài Cang, Huyện Tuần Giáo"
382570,BĐVHX Quài Nưa,"Bản Minh Thắng, Xã Quài Nưa, Huyện Tuần Giáo"
382600,BĐVHX Pú Nhung,"Bản Chung Dình, Xã Pú Nhung, Huyện Tuần Giáo"
382620,BĐVHX Ta Ma,"Bản Háng Chua, Xã Ta Ma, Huyện Tuần Giáo"
382640,BĐVHX Phình Sáng,"Bản Nậm Din, Xã Phình Sáng, Huyện Tuần Giáo"
382670,BĐVHX Mùn Chung,"Bản Huổi Lóng, Xã Mùn Chung, Huyện Tuần Giáo"
382700,BĐVHX Mường Mùn,"Bản Mường Mùn 1, Xã Mường Mùn, Huyện Tuần Giáo"
382740,BĐVHX Mường Thín,"Bản Thín A, Xã Mường Thín, Huyện Tuần Giáo"
382760,BĐVHX Nà Sáy,"Bản Nà Sáy 1, Xã Nà Sáy, Huyện Tuần Giáo"
382790,BĐVHX Mường Đăng,"Bản Đăng, Xã Mường Đăng, Huyện Mường Ảng"
382820,BĐVHX Ẳng Cang,"Bản Kéo, Xã Ẳng Cang, Huyện Mường Ảng"
382870,BĐVHX Ẳng Nưa,"Bản Tin Tốc, Xã Ẳng Nưa, Huyện Mường Ảng"
382890,BĐVHX Ẳng Tở,"Bản Cha Cuông, Xã Ẳng Tở, Huyện Mường Ảng"
382920,BĐVHX Búng Lao,"Bản Quyết Tiến, Xã Búng Lao, Huyện Mường Ảng"
382960,BĐVHX Mường Lạn,"Bản Lạn, Xã Mường Lạn, Huyện Mường Ảng"
383000,BĐVHX Chiềng Sinh,"Bản Ta Cơn, Xã Chiềng Sinh, Huyện Tuần Giáo"
383030,BĐVHX Quài Tở,"Bản Huổi Sản, Xã Quài Tở, Huyện Tuần Giáo"
383070,BĐVHX Tênh Phong,"Bản Tênh Phong, Xã Tênh Phông, Huyện Tuần Giáo"
383080,BĐVHX Tỏa Tình,"Bản Tỏa Tình, Xã Toả Tình, Huyện Tuần Giáo"
383300,GD cấp 2 Mường Chà,"Khu phố 3, Thị trấn Mường Chà, Huyện Mường Chà"
383320,BĐVHX Hừa Ngài,"Bản Hừa Ngài, Xã Hừa Ngài, Huyện Mường Chà"
383340,BĐVHX Xá Tổng,"Bản Xa Tổng, Xã Xá Tổng, Huyện Mường Chà"
383360,BĐVHX Pa Ham,"Bản Pa Ham, Xã Pa Ham, Huyện Mường Chà"
383380,KT cấp 2 Mường Chà,"Khu phố 3, Thị trấn Mường Chà, Huyện Mường Chà"
383390,BĐVHX Si Pa Phìn,"Bản Nậm Chim 1, Xã Si Pa Phìn, Huyện Mường Chà"
383410,BĐVHX Chà Nưa,"Bản Pó Có, Xã Chà Nưa, Huyện Mường Chà"
383430,BĐVHX Chà Tở,"Bản Nà Pẩu, Xã Chà Tở, Huyện Mường Chà"
383460,BĐVHX Huổi Lèng,"Bản Huổi Toóng, Xã Huổi Leng, Huyện Mường Chà"
383480,BĐVHX Mường Tùng,"Bản Mường Tùng, Xã Mường Tùng, Huyện Mường Chà"
383500,BĐVHX Mường Mơn,"Bản Hin 2, Xã Mường Mơn, Huyện Mường Chà"
383570,BĐVHX Ma Thì Hồ,"Bản Ma Thì Hồ, Xã Ma Thì Hồ, Huyện Mường Chà"
383590,BĐVHX Na Sang,"Bản Na Sang, Xã Na Sang, Huyện Mường Chà"
383600,GD cấp 2 Tủa Chùa,"Khu phố Thắng Lợi, Thị trấn Tủa Chùa, Huyện Tủa Chùa"
383610,BĐVHX Sáng Nhè,"Bản Tính B, Xã Sáng Nhè, Huyện Tủa Chùa"
383630,BĐVHX Mường Đun,"Bản Đun, Xã Mường Đun, Huyện Tủa Chùa"
383640,KT cấp 2 Tủa Chùa,"Khu phố Thắng Lợi, Thị trấn Tủa Chùa, Huyện Tủa Chùa"
383650,BĐVHX Tủa Thàng,"Bản Làng Vùa 1, Xã Tủa Thàng, Huyện Tủa Chùa"
383670,BĐVHX Huổi Só,"Bản Huỏi Só1, Xã Huổi Só, Huyện Tủa Chùa"
383690,BĐVHX Sín Chải,"Bản Sín Chải, Xã Sín Chải, Huyện Tủa Chùa"
383710,BĐVHX Tả Sín Thàng,"Bản Tả Sìn Thàng, Xã Tả Sìn Thàng, Huyện Tủa Chùa"
383730,BĐVHX Lao Xả Phình,"Thôn 1, Xã Lao Xả Phình, Huyện Tủa Chùa"
383740,BĐVHX Tả Phình,"Bản Tả Phình 1, Xã Tả Phình, Huyện Tủa Chùa"
383760,BĐVHX Trung Thu,"Bản Trung Thu, Xã Trung Thu, Huyện Tủa Chùa"
383780,BĐVHX Xính Phình,"Bản Tà Là Cáo, Xã Xính Phình, Huyện Tủa Chùa"
383800,BĐVHX Mường Báng,"Đội 2, Xã Mường Báng, Huyện Tủa Chùa"
383900,GD cấp 2 Tx Mường Lay,"Tổ 11, Phường Sông Đà, Thị xã Mường Lay"
383901,ÐLBD Đồi Cao,"Tổ 5, Phường Sông Đà, Thị xã Mường Lay"
383920,GD cấp 3 Bản Toong,"Tổ 3, Phường Na Lay, Thị xã Mường Lay"
383940,BĐVHX Lay Nưa,"Bản Ló 1, Xã Lay Nưa, Thị xã Mường Lay"
383960,KT cấp 2 Tx Mường Lay,"Tổ 11, Phường Sông Đà, Thị xã Mường Lay"
384000,GD cấp 2 Mường Nhé,"Khu trung tâm huyện lỵ, Thị trấn Huyện, Huyện Mường Nhé"
384010,BĐVHX Mường Nhé,"Bản Mường Nhé, Xã Mường Nhé, Huyện Mường Nhé"
384020,KT cấp 2 Mường Nhé,"Khu trung tâm huyện lỵ, Thị trấn Huyện, Huyện Mường Nhé"
384030,BĐVHX Chung Chải,"Bản Đoàn Kết, Xã Chung Chải, Huyện Mường Nhé"
384040,BĐVHX Sín Thầu,"Bản Tả Kó Khừ, Xã Sín Thầu, Huyện Mường Nhé"
384050,BĐVHX Mường Toong,"Bản Mường Toong 1, Xã Mường Toong, Huyện Mường Nhé"
384100,BĐVHX Chà Cang,"Bản Mới, Xã Chà Cang, Huyện Mường Nhé"
384130,BĐVHX Nà Hỳ,"Bản Na Hỳ 1, Xã Nà Hỳ, Huyện Mường Nhé"
384190,BĐVHX Nà Bủng,"Bản Nà Bủng 1, Xã Nà Bùng, Huyện Mường Nhé"
384210,BĐVHX Nà Khoa,"Bản Nà Khoa, Xã Nà Khoa, Huyện Mường Nhé"
384230,BĐVHX Nậm Kè,"Bản Nậm Kè, Xã Nậm Kè, Huyện Mường Nhé"
384240,BĐVHX Pa Tần,"Bản Pa Tần, Xã Pa Tần, Huyện Mường Nhé"
384250,BĐVHX Quảng Lâm,"Bản Tạm Púng, Xã Quảng Lâm, Huyện Mường Nhé"
384610,BĐVHX Nậm Khăn,"Bản Nậm Khăn, Xã Nậm Khăn, Huyện Mường Chà"
384630,BĐVHX Phìn Hồ,"Bản Phìn Hồ, Xã Phìn Hồ, Huyện Mường Chà"
384650,BĐVHX Sa Lông,"Bản Sa Lông, Xã Sa Lông, Huyện Mường Chà"
384800,GD cấp 2 Mường Ảng,"Khối 7, Thị Trấn Mường Ẳng, Huyện Mường Ảng"
384810,KT cấp 2 Mường Ảng,"Khối 7, Thị Trấn Mường Ẳng, Huyện Mường Ảng"
385020,BĐVHX Năm Lịch,"Bản Năm Lịch, Xã Nặm Lịch, Huyện Mường Ảng"
385040,BĐVHX Ngối Cáy,"Bản Ngối Cáy, Xã Ngối Cáy, Huyện Mường Ảng"
385060,BĐVHX Xuân Lao,"Bản Xuân lao, Xã Xuân Lao, Huyện Mường Ảng"