240000,GD cấp 1 Lạng Sơn,"49 Đường Lê Lợi, Phường Vĩnh Trại, Thành phố Lạng Sơn"
240200,KT cấp 1 Lạng Sơn,"49 Đường Lê Lợi, Phường Vĩnh Trại, Thành phố Lạng Sơn"
241000,GD cấp 3 Cửa Đông,"12 Đường Hùng Vương, Phường Chi Lăng, Thành phố Lạng Sơn"
241260,BĐVHX Mai Pha,"Thôn Trung Cấp, Xã Mai Pha, Thành phố Lạng Sơn"
241350,GD cấp 3 Kỳ Lừa,"06 Ngõ 1, Đường Lê Lai, Phường Hoàng Văn Thụ, Thành phố Lạng Sơn"
241420,Kiốt bưu điện Lê Lai,"Đường Lê Lai, Phường Hoàng Văn Thụ, Thành phố Lạng Sơn"
241480,Kiốt bưu điện Lê Hồng Phong,"Đường Lê Hồng Phong, Phường Tam Thanh, Thành phố Lạng Sơn"
241520,BĐVHX Hoàng Đồng,"Thôn Hoàng Tân, Xã Hoàng Đồng, Thành phố Lạng Sơn"
241550,BĐVHX Quảng Lạc,"Bản Loỏng, Xã Quảng Lạc, Thành phố Lạng Sơn"
241800,GD cấp 2 Cao Lộc,"Khối 6, Thị Trấn Cao Lộc, Huyện Cao Lộc"
241801,BĐVHX Cao Lộc,"Khối 1, Thị Trấn Cao Lộc, Huyện Cao Lộc"
241860,KT cấp 2 Cao Lộc,"Khối 6, Thị Trấn Cao Lộc, Huyện Cao Lộc"
241870,KT cấp 2 Đồng Đăng,"Khu Dây Thép, Thị Trấn Đồng Đăng, Huyện Cao Lộc"
241880,BĐVHX Hợp Thành,"Thôn Nà Nùng, Xã Hợp Thành, Huyện Cao Lộc"
241900,GD cấp 2 Đồng Đăng,"Khu Dây Thép, Thị Trấn Đồng Đăng, Huyện Cao Lộc"
241909,BĐVHX Hoà Cư,"Thôn Bản Luận, Xã Hoà Cư, Huyện Cao Lộc"
241920,BĐVHX Hải Yến,"Thôn Nà Tền, Xã Hải Yến, Huyện Cao Lộc"
241990,BĐVHX Ba Sơn,"Thôn Bản Vàng, Xóm Pò Mất, Xã Cao Lâu, Huyện Cao Lộc"
242010,BĐVHX Xuất Lễ,"Thôn Bản Ngõa, Xã Xuất Lễ, Huyện Cao Lộc"
242080,BĐVHX Bảo Lâm,"Thôn Còn Kéo - Nà Phấy, Xã Bảo Lâm, Huyện Cao Lộc"
242100,GD cấp 3 Cổng Trắng,"Khu Cổng Trắng, Thị Trấn Đồng Đăng, Huyện Cao Lộc"
242110,GD cấp 3 Hữu Nghị,"Khu Cửa Khẩu Hữu Nghị, Thị Trấn Đồng Đăng, Huyện Cao Lộc"
242120,BĐVHX Thụy Hùng,"Thôn Pò Nghiều, Xã Thụy Hùng, Huyện Cao Lộc"
242140,BĐVHX Phú Xá,"Thôn Còn Chủ, Xã Phú Xá, Huyện Cao Lộc"
242160,BĐVHX Hồng Phong,"Thôn Còn Quyền, Xã Hồng Phong, Huyện Cao Lộc"
242190,BĐVHX Bình Trung,"Thôn Chục Pình, Xã Bình Trung, Huyện Cao Lộc"
242230,BĐVHX Tân Thành,"Thôn Tồng Han, Xã Tân Thành, Huyện Cao Lộc"
242250,BĐVHX Yên Trạch,"Thôn Yên Thành, Xã Yên Trạch, Huyện Cao Lộc"
242270,BĐVHX Tân Liên,"Thôn An Dinh 1, Xã Tân Liên, Huyện Cao Lộc"
242290,GD cấp 3 Gia Cát,"Thôn Bắc Đông 1, Xã Gia Cát, Huyện Cao Lộc"
242500,GD cấp 2 Văn Lãng,"Khu 3, Thị Trấn Na Sầm, Huyện Văn Lãng"
242540,KT cấp 2 Văn Lãng,"Khu 3, Thị Trấn Na Sầm, Huyện Văn Lãng"
242550,BĐVHX An Hùng,"Thôn Bản Hu Ngoài, Xã An Hùng, Huyện Văn Lãng"
242600,BĐVHX Thụy Hùng,"Thôn Pác Cáy, Xã Thụy Hùng, Huyện Văn Lãng"
242650,BĐVHX Trùng Quán,"Thôn Lũng Vài, Xã Trùng Quán, Huyện Văn Lãng"
242680,BĐVHX Tân Việt,"Thôn Bản Quan, Xã Tân Việt, Huyện Văn Lãng"
242711,BĐVHX Bắc La,"Thôn Nặm Shù, Xã Bắc La, Huyện Văn Lãng"
242720,BĐVHX Tân Lang,"Thôn Pò Lâu, Xã Tân Lang, Huyện Văn Lãng"
242750,BĐVHX Hội Hoan,"Thôn Bản Kìa, Xã Hội Hoan, Huyện Văn Lãng"
242770,BĐVHX Thành Hòa,"Thôn Bản Mìn, Xã Thành Hoà, Huyện Văn Lãng"
242860,BĐVHX Hồng Thái,"Thôn Bản Nhùng, Xã Hồng Thái, Huyện Văn Lãng"
242870,BĐVHX Hoàng Văn Thụ,"Khu Chợ Văn Thụ, Xã Hoàng Văn Thụ, Huyện Văn Lãng"
242890,BĐVHX Nhạc Kỳ,"Thôn Nà Éc, Xã Nhạc Kỳ, Huyện Văn Lãng"
242910,GD cấp 3 Tân Thanh,"Khu 1, Xã Tân Thanh, Huyện Văn Lãng"
242930,BĐVHX Tân Mỹ,"Thôn Tà Lài, Xã Tân Mỹ, Huyện Văn Lãng"
243100,GD cấp 2 Tràng Định,"Khu 2, Thị Trấn Thất Khê, Huyện Tràng Định"
243110,BĐVHX Đại Đồng,"Thôn Pò Bó, Xã Đại Đồng, Huyện Tràng Định"
243140,KT cấp 2 Tràng Định,"Khu 2, Thị Trấn Thất Khê, Huyện Tràng Định"
243150,BĐVHX Trung Thành,"Thôn Pá Pàu, Xã Trung Thành, Huyện Tràng Định"
243260,GD cấp 3 Quốc Khánh,"Thôn Long Thịnh, Xã Quốc Khánh, Huyện Tràng Định"
243261,BĐVHX Quốc Khánh,"Thôn Nà Nưa, Xã Quốc Khánh, Huyện Tràng Định"
243310,BĐVHX Tri Phương,"Thôn Kéo Quân, Xã Tri Phương, Huyện Tràng Định"
243350,BĐVHX Chi Lăng,"Thôn Đâư Linh, Xã Chi Lăng, Huyện Tràng Định"
243480,BĐVHX Tân Tiến,"Thôn Áng Mò, Xã Tân Tiến, Huyện Tràng Định"
243510,BĐVHX Kim Đồng,"Thôn Nà Thà, Xã Kim Đồng, Huyện Tràng Định"
243580,BĐVHX Đề Thám,"Thôn Đoỏng Nà, Xã Đề Thám, Huyện Tràng Định"
243610,BĐVHX Hùng Sơn,"Thôn Nà Chùa, Xã Hùng Sơn, Huyện Tràng Định"
243640,BĐVHX Hùng Việt,"Thôn Bản Nhàn, Xã Hùng Việt, Huyện Tràng Định"
243660,BĐVHX Kháng Chiến,"Thôn Đoỏng Pán, Xã Kháng Chiến, Huyện Tràng Định"
243690,GD cấp 3 Bình Độ,"Khu Chợ Bình Độ., Xã Quốc Việt, Huyện Tràng Định"
243900,GD cấp 2 Văn Quan,"Khu phố Đức Tâm, Thị Trấn Văn Quan, Huyện Văn Quan"
243920,BĐVHX Đại An,"Thôn Bình Đãng B, Xã Đại An, Huyện Văn Quan"
243930,KT cấp 2 Văn Quan,"Khu phố Đức Tâm, Thị Trấn Văn Quan, Huyện Văn Quan"
243940,BĐVHX Chu Túc,"Thôn Nà Tèn, Xã Chu Túc, Huyện Văn Quan"
243969,BĐVHX Tràng Các,"Thôn Nà Khàn, Xã Tràng Các, Huyện Văn Quan"
244000,BĐVHX Khánh Khê,"Thôn Bản Khính, Xã Khánh Khê, Huyện Văn Quan"
244020,GD cấp 3 Văn An,"Khu phố Điềm He, Xã Văn An, Huyện Văn Quan"
244040,BĐVHX Vĩnh Lại,"Thôn Nà Súng, Xã Vĩnh Lại, Huyện Văn Quan"
244067,BĐVHX Song Giang,"Thôn Bản Đin, Xã Song Giang, Huyện Văn Quan"
244076,BĐVHX Văn Mộng,"Thôn Khòn Cải, Xã Vân Mộng, Huyện Văn Quan"
244080,BĐVHX Việt Yên,"Thôn Khòn Bó, Xã Việt Yên, Huyện Văn Quan"
244090,BĐVHX Trấn Ninh,"Thôn Nà Chả, Xã Trấn Ninh, Huyện Văn Quan"
244113,BĐVHX Phú Mỹ,"Thôn Bản Thượng, Xã Phú Mỹ, Huyện Văn Quan"
244130,BĐVHX Tú Xuyên,"Thôn Khòn Coọng, Xã Tú Xuyên, Huyện Văn Quan"
244150,BĐVHX Lương Năng,"Thôn Nà Thang, Xã Lương Năng, Huyện Văn Quan"
244170,BĐVHX Xuân Mai,"Thôn Bản Dạ, Xã Xuân Mai, Huyện Văn Quan"
244190,BĐVHX Tri Lễ,"Thôn Bản Châu, Xã Tri Lễ, Huyện Văn Quan"
244215,BĐVHX Hữu Lễ,"Thôn Bản Rượi, Xã Hữu Lễ, Huyện Văn Quan"
244220,BĐVHX Bình Phúc,"Thôn Nà Hấy, Xã Bình Phúc, Huyện Văn Quan"
244240,GD cấp 3 Chợ Bãi,"Khu phố Chợ Bãi 2, Xã Yên Phúc, Huyện Văn Quan"
244268,BĐVHX Tràng Sơn,"Thôn Còn Thon Còn Nà, Xã Tràng Sơn, Huyện Văn Quan"
244280,BĐVHX Tân Đoàn,"Thôn Khòn Ngòa, Xã Tân Đoàn, Huyện Văn Quan"
244300,BĐVHX Tràng Phái,"Thôn Phai Làng, Xã Tràng Phái, Huyện Văn Quan"
244500,GD cấp 2 Bình Gia,"Thôn Ngã Tư, Xã Tô Hiệu, Huyện Bình Gia"
244510,GD cấp 3 Bình Gia Phố,"Khu 3, Thị Trấn Bình Gia, Huyện Bình Gia"
244520,BĐVHX Tô Hiệu,"Thôn Yên Bình, Xã Tô Hiệu, Huyện Bình Gia"
244540,KT cấp 2 Bình Gia,"Thôn Ngã Tư, Xã Tô Hiệu, Huyện Bình Gia"
244550,BĐVHX Tân Văn,"Thôn Nà Pái, Xã Tân Văn, Huyện Bình Gia"
244570,BĐVHX Hồng Thái,"Thôn Bản Huấn, Xã Hồng Thái, Huyện Bình Gia"
244600,BĐVHX Hoàng Văn Thụ,"Thôn Long Quang 2, Xã Hoàng Văn Thụ, Huyện Bình Gia"
244620,BĐVHX Minh Khai,"Thôn Khuổi Con, Xã Minh Khai, Huyện Bình Gia"
244640,GD cấp 3 Văn Mịch,"Khu Phố Văn Mịch, Xã Hồng Phong, Huyện Bình Gia"
244660,BĐVHX Quang Trung,"Thôn Nà Tèo, Xã Quang Trung, Huyện Bình Gia"
244680,BĐVHX Hoa Thám,"Khu Chợ Đông Phjoòng, Xã Hoa Thám, Huyện Bình Gia"
244700,GD cấp 3 Pác Khuông,"Thôn Pác Khuông, Xã Thiện Thuật, Huyện Bình Gia"
244730,BĐVHX Yên Lỗ,"Thôn Bản Mè, Xã Yên Lỗ, Huyện Bình Gia"
244780,BĐVHX Thiện Hòa,"Thôn Ba Biển, Xã Thiện Hoà, Huyện Bình Gia"
244800,BĐVHX Mông Ân,"Thôn Bản Muống, Xã Mông Ân, Huyện Bình Gia"
244820,BĐVHX Hòa Bình,"Thôn Tà Chu, Xã Hoà Bình, Huyện Bình Gia"
244830,BĐVHX Thiện Long,"Thôn Bắc Hóa, Xã Thiện Long, Huyện Bình Gia"
245000,GD cấp 2 Bắc Sơn,"Tiểu Khu Hoàng Văn Thụ, Thị Trấn Bắc Sơn, Huyện Bắc Sơn"
245010,KT cấp 2 Bắc Sơn,"Tiểu Khu Hoàng Văn Thụ, Thị Trấn Bắc Sơn, Huyện Bắc Sơn"
245020,BĐVHX Bắc Sơn,"Thôn Trí Yên, Xã Bắc Sơn, Huyện Bắc Sơn"
245050,BĐVHX Quỳnh Sơn,"Thôn Đon Riệc 1, Xã Quỳnh Sơn, Huyện Bắc Sơn"
245100,BĐVHX Đồng Ý,"Thôn Khau Ràng, Xã Đồng Ý, Huyện Bắc Sơn"
245140,BĐVHX Tân Lập,"Thôn Nà Luông, Xã Tân Lập, Huyện Bắc Sơn"
245160,BĐVHX Vũ Sơn,"Thôn Nà Danh, Xã Vũ Sơn, Huyện Bắc Sơn"
245180,BĐVHX Tân Tri,"Thôn Pò Đồn, Xã Tân Tri, Huyện Bắc Sơn"
245210,BĐVHX Chiến Thắng,"Thôn Hồng Phong 3, Xã Chiến Thắng, Huyện Bắc Sơn"
245230,GD cấp 3 Ngả Hai,"Thôn Vũ Lâm, Xã Vũ Lễ, Huyện Bắc Sơn"
245250,BĐVHX Tân Hương,"Thôn Đon Úy, Xã Tân Hương, Huyện Bắc Sơn"
245298,BĐVHX Tân Thành,"Thôn Phong Thịnh 2, Xã Tân Thành, Huyện Bắc Sơn"
245330,BĐVHX Chiêu Vũ,"Thôn Bình Thượng, Xã Chiêu Vũ, Huyện Bắc Sơn"
245391,BĐVHX Nhất Tiến,"Thôn Làng Đấy, Xã Nhất Tiến, Huyện Bắc Sơn"
245400,BĐVHX Trấn Yên,"Thôn Tác Nàng, Xã Trấn Yên, Huyện Bắc Sơn"
245440,GD cấp 3 Mỏ Nhài,"Khu Phố Mỏ Nhài, Xã Hưng Vũ, Huyện Bắc Sơn"
245600,GD cấp 2 Chi Lăng,"Khu Chính, Thị Trấn Đồng Mỏ, Huyện Chi Lăng"
245630,KT cấp 2 Chi Lăng,"Khu Chính, Thị Trấn Đồng Mỏ, Huyện Chi Lăng"
245660,BĐVHX Nhân Lý,"Thôn Lạng Giai A, Xã Nhân Lý, Huyện Chi Lăng"
245740,BĐVHX Thượng Cường,"Thôn Làng Nong, Xã Thượng Cường, Huyện Chi Lăng"
245760,BĐVHX Mai Sao,"Thôn Lạng Nắc, Xã Mai Sao, Huyện Chi Lăng"
245780,BĐVHX Gia Lộc,"Thôn Làng Mỏ, Xóm Mỏ Tạo, Xã Gia Lộc, Huyện Chi Lăng"
245800,BĐVHX Hòa Bình,"Thôn Pa Làng, Xã Hoà Bình, Huyện Chi Lăng"
245820,BĐVHX Bằng Mạc,"Thôn Nà Pe, Xã Bằng Mạc, Huyện Chi Lăng"
245840,BĐVHX Bằng Hữu,"Thôn Thồng Noọc, Xã Bằng Hữu, Huyện Chi Lăng"
245860,BĐVHX Vạn Linh,"Thôn Phố Mới, Xã Vạn Linh, Huyện Chi Lăng"
245899,BĐVHX Y Tịch,"Thôn Giáp Thượng 2, Xã Y Tịch, Huyện Chi Lăng"
245900,BĐVHX Quang Lang,"Thôn Than Muội, Xã Quang Lang, Huyện Chi Lăng"
245920,BĐVHX Chi Lăng,"Thôn Ga, Xã Chi Lăng, Huyện Chi Lăng"
245940,GD cấp 3 Đồng Bành,"Thôn Đồng Bành, Thị Trấn Chi Lăng, Huyện Chi Lăng"
245941,BĐVHX Sông Hóa,"Thôn Chiến Thắng, Thị Trấn Chi Lăng, Huyện Chi Lăng"
245960,BĐVHX Quan Sơn,"Thôn Pắc Phèng, Xã Quan Sơn, Huyện Chi Lăng"
246100,GD cấp 2 Hữu Lũng,"Khu An Ninh, Thị Trấn Hữu Lũng, Huyện Hữu Lũng"
246150,KT cấp 2 Hữu Lũng,"Khu An Ninh, Thị Trấn Hữu Lũng, Huyện Hữu Lũng"
246180,BĐVHX Hồ Sơn,"Thôn Na Hoa, Xã Hồ Sơn, Huyện Hữu Lũng"
246200,BĐVHX Tân Thành,"Thôn Bắc Lệ, Xã Tân Thành, Huyện Hữu Lũng"
246220,BĐVHX Hòa Sơn,"Thôn Đồng Liên, Xã Hoà Sơn, Huyện Hữu Lũng"
246250,BĐVHX Cai Kinh,"Thôn Ba Nàng, Xã Cai Kinh, Huyện Hữu Lũng"
246290,BĐVHX Yên Vượng,"Thôn Gốc Sau, Xã Yên Vượng, Huyện Hữu Lũng"
246318,BĐVHX Yên Thịnh,"Thôn Làng Chùa, Xã Yên Thịnh, Huyện Hữu Lũng"
246341,BĐVHX Hữu Liên,"Thôn Làng Cướm, Xã Hữu Liên, Huyện Hữu Lũng"
246356,BĐVHX Hoà Bình,"Thôn Vĩnh Yên, Xã Hoà Bình, Huyện Hữu Lũng"
246360,BĐVHX Yên Bình,"Thôn Đồng Bụt, Xã Yên Bình, Huyện Hữu Lũng"
246400,BĐVHX Nhật Tiến,"Xóm Tân Thịnh, Xã Nhật Tiến, Huyện Hữu Lũng"
246429,BĐVHX Minh Tiến,"Thôn Nhị Liên, Xã Minh Tiến, Huyện Hữu Lũng"
246450,BĐVHX Thanh Sơn,"Thôn Niêng, Xã Thanh Sơn, Huyện Hữu Lũng"
246470,BĐVHX Thiện Kỵ,"Thôn Quyết Thắng, Xã Thiện Kỵ, Huyện Hữu Lũng"
246490,GD cấp 3 Vân Nham,"Thôn Phổng, Xã Vân Nham, Huyện Hữu Lũng"
246500,BĐVHX Đồng Tiến,"Thôn Lân Luông, Xã Đồng Tiến, Huyện Hữu Lũng"
246520,BĐVHX Đô Lương,"Thôn Cốc Lùng, Xã Đô Lương, Huyện Hữu Lũng"
246540,GD cấp 3 Bến Lường,"Thôn Bến Lường, Xã Minh Sơn, Huyện Hữu Lũng"
246570,BĐVHX Minh Hòa,"Xóm Keo, Xã Minh Hoà, Huyện Hữu Lũng"
246800,GD cấp 2 Lộc Bình,"Phố Hòa Bình, Thị Trấn Lộc Bình, Huyện Lộc Bình"
246810,BĐVHX Hữu Khánh,"Thôn Bản Rị, Xã Hữu Khánh, Huyện Lộc Bình"
246820,KT cấp 2 Lộc Bình,"Phố Hòa Bình, Thị Trấn Lộc Bình, Huyện Lộc Bình"
246830,BĐVHX Tú Đoạn,"Thôn Đinh Chùa, Xã Tú Đoạn, Huyện Lộc Bình"
246860,BĐVHX Khuất Xá,"Thôn Bản Chu A, Xã Khuất Xá, Huyện Lộc Bình"
246890,BĐVHX Tĩnh Bắc,"Thôn Bó Luồng, Xã Tĩnh Bắc, Huyện Lộc Bình"
246910,BĐVHX Tam Gia,"Thôn Pò Nâm, Xã Tam Gia, Huyện Lộc Bình"
246940,GD cấp 3 Chi Ma,"Thôn Chi Ma, Xã Yên Khoái, Huyện Lộc Bình"
246941,BĐVHX Yên Khoái,"Thôn Long Đầu, Xã Yên Khoái, Huyện Lộc Bình"
246980,BĐVHX Đồng Bục,"Thôn Pò Vèn, Xã Đồng Bục, Huyện Lộc Bình"
247005,BĐVHX Xuân Mãn,"Thôn Bản Mặn, Xã Xuân Mãn, Huyện Lộc Bình"
247020,BĐVHX Xuân Lễ,"Thôn Bản Lầy, Xã Xuân Lễ, Huyện Lộc Bình"
247050,BĐVHX Như Khuê,"Thôn Tằm Khuổi, Xã Như Khuê, Huyện Lộc Bình"
247090,BĐVHX Xuân Tình,"Thôn Khòn Nà, Xã Xuân Tình, Huyện Lộc Bình"
247100,BĐVHX Quan Bản,"Thôn Nà Ái, Xã Quan Bản, Huyện Lộc Bình"
247120,BĐVHX Nhượng Bạn,"Thôn Hán Sài, Xã Nhượng Bạn, Huyện Lộc Bình"
247180,BĐVHX Đông Quan,"Thôn Thổng Niểng, Xã Đông Quan, Huyện Lộc Bình"
247200,BĐVHX Nam Quan,"Thôn Bản Tó, Xã Nam Quan, Huyện Lộc Bình"
247232,BĐVHX Xuân Dương,"Thôn Pò Chang, Xã Xuân Dương, Huyện Lộc Bình"
247270,GD cấp 3 Na Dương,"Khu 5a, Thị Trấn Na Dương, Huyện Lộc Bình"
247300,BĐVHX Lợi Bác,"Thôn Nà U, Xã Lợi Bác, Huyện Lộc Bình"
247500,GD cấp 2 Đình Lập,"Khu 4, Thị Trấn Đình Lập, Huyện Đình Lập"
247510,KT cấp 2 Đình Lập,"Khu 4, Thị Trấn Đình Lập, Huyện Đình Lập"
247520,BĐVHX Kiên Mộc,"Thôn Bản Pục, Xã Kiên Mộc, Huyện Đình Lập"
247564,BĐVHX Bắc Xa,"Thôn Nà Thuộc, Xã Bắc Xa, Huyện Đình Lập"
247570,BĐVHX Bính Xá,"Thôn Nà Lừa, Xã Bính Xá, Huyện Đình Lập"
247600,BĐVHX Đình Lập,"Thôn Còn Đuống, Xã Đình Lập, Huyện Đình Lập"
247650,GD cấp 3 Lâm Thái,"Khu 5, Thị Trấn Nông Trường Thái Bình, Huyện Đình Lập"
247660,BĐVHX Cường Lợi,"Thôn Khe Bó, Xã Cường Lợi, Huyện Đình Lập"
247670,BĐVHX Lâm Ca,"Thôn Pắc Vằn, Xã Lâm Ca, Huyện Đình Lập"
247731,BĐVHX Châu Sơn,"Thôn Nà Loỏng, Xã Châu Sơn, Huyện Đình Lập"
247740,BĐVHX Bắc Lãng,"Thôn Nà Pai, Xã Bắc Lãng, Huyện Đình Lập"