700057,HCM,HCM,
713200,GD cấp 3 Bình Trưng,"155 Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (Thủ Đức)",
759020,GD KT cấp 2 Khai Thác Vận Chuyển Cần Giờ,"Khu phố Miễu Ba, Thị trấn Cần Thạnh, Huyện Cần Giờ",
731200,GD cấp 3 Đông Thạnh,"Ấp 7, Xã Đông Thạnh, Huyện Hóc Môn",
710200,GD cấp 2 Quận I,"67 Đường Lê Lợi, Phường Bến Nghé, Quận 1",
731010,GD KT cấp 2 Đội Khai Thác Vận Chuyển Hóc Môn,"26 Ấp Đông, Xã Thới Tam Thôn, Huyện Hóc Môn",
715300,GD cấp 3 Phước Long,"45 Đường Đại Lộ Ii, Phường Phước Bình, Quận 9 (Thủ Đức)",
731910,GD cấp 3 An Sương,"Ấp Đông Lân, Xã Bà Điểm, Huyện Hóc Môn",
720600,GD cấp 3 Khiết Tâm,"60 Khu phố 4, Phường Bình Chiểu, Quận Thủ Đức",
751500,GD cấp 2 Quận 8,"428 Đường Tùng Thiện Vương, Phường Số 13, Quận 8",
701059,CPN_HCM,,
733600,GD cấp 3 Phạm Văn Cội,"Ấp 3, Xã Phạm Văn Cội, Huyện Củ Chi",
718900,GD cấp 3 Ngô Tất Tố,"135 Đường Ngô Tất Tố, Phường Số 22, Quận Bình Thạnh",
710400,GD cấp 3 Trần Hưng Đạo,"447B Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1",
758500,GD cấp 3 Hiệp Phước,"376/5 Ấp 1, Xã Hiệp Phước, Huyện Nhà Bè",
715100,GD cấp 3 Chợ Nhỏ,"Khu phố 5, Phường Hiệp Phú, Quận 9 (Thủ Đức)",
727000,GD cấp 3 Thông Tây Hội,"2/1 Đường Quang Trung, Phường Số 11, Quận Gò Vấp",
733010,GD cấp 3 Thị Trấn Củ Chi,"Khu phố 8, Thị trấn Củ Chi, Huyện Củ Chi",
729110,GD cấp 3 Quang Trung,"Khu phố 3, Phường Đông Hưng Thuận, Quận 12 (Hóc Môn)",
756100,GD cấp 2 Nhà Bè,"81/1C Khu phố 1, Phường Phú Mỹ, Quận 7 (Nhà Bè)",
727300,GD cấp 3 An Nhơn,"51/573B Đường Nguyễn Oanh, Phường Số 17, Quận Gò Vấp",
756700,GD cấp 3 Tân Quy Đông,"44 Khu phố 2, Phường Tân Quy, Quận 7 (Nhà Bè)",
730000,TP HCM,A,
715540,GD cấp 3 Long Bình,"Đường Nguyễn Xiễn, Phường Long Bình, Quận 9 (Thủ Đức)",
717500,GD cấp 3 Nơ Trang Long,"170G Đường Nơ Trang Long, Phường Số 12, Quận Bình Thạnh",
710500,GD cấp 3 Nguyễn Du,"80E Đường Nguyễn Du, Phường Bến Nghé, Quận 1",
735000,GD cấp 3 Bình Mỹ,"Ấp 2, Xã Bình Mỹ, Huyện Củ Chi",
700000,GD cấp 1 Trung Tâm Sài Gòn,"2 Đường Công Xã Paris, Phường Bến Nghé, Quận 1",
700054,HCM,HCM,
727800,GD cấp 3 Nguyễn Thái Sơn,"24 Đường Nguyễn Thái Sơn, Phường Số 3, Quận Gò Vấp",
720000,GD cấp 3 Kcn Bình Chiểu,"1-2 Đường Bình Chiểu, Khu công nghiệp Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức",
748020,GD cấp 3 Nguyễn Duy Dương,"5 Đường Nguyễn Duy Dương, Phường Số 8, Quận 5",
717000,GD cấp 3 Thị Nghè,"23 Đường Xô Viết Nghệ Tỉnh, Phường Số 17, Quận Bình Thạnh",
738600,GD cấp 3 Láng Le,"A6/177B Ấp 6, Xã Tân Nhựt, Huyện Bình Chánh",
760320,GD cấp 3 Khu Công Nghiệp Tân Bình,"001 Lô nhà I, Khu chung cư Khu Công Nghiệp Tân Bình, Phường Tây Thạnh, Quận Tân Phú",
700051,HCM,HCM,
725600,GD cấp 3 Đông Ba,"105B Đường Phan Đăng Lưu, Phường Số 7, Quận Phú Nhuận",
700055,HCM,HCM,
701058,CPN_HCM,CPN_HCM,
732110,GD cấp 3 Trung Chánh,"159/6b Ấp Trung Chánh 2, Xã Trung Chánh, Huyện Hóc Môn",
740000,GD cấp 3 Vĩnh Viễn,"007 Lô nhà N, Khu chung cư Nguyễn Kim, Phường Số 7, Quận 10 (Chợ lớn)",
752600,GD cấp 3 Bùi Minh Trực,"188 Đường Bùi Minh Trực, Phường Số 5, Quận 8",
729100,GD cấp 3 Bàu Nai,"90/5 Khu phố 7, Phường Tân Hưng Thuận, Quận 12 (Hóc Môn)",
758100,GD cấp 3 Phước Kiển,"96A Ấp 2, Xã Phước Kiểng, Huyện Nhà Bè",
731900,GD cấp 3 Bà Điểm,"12/4 Ấp Trung Lân, Xã Bà Điểm, Huyện Hóc Môn",
740100,GD cấp 3 Ngô Quyền,"237 Đường Ngô Quyền, Phường Số 6, Quận 10 (Chợ lớn)",
710880,GD cấp 3 Tân Định,"230 Đường Hai Bà Trưng, Phường Tân Định, Quận 1",
715200,GD cấp 3 Lâm Viên,"Ấp Gò Cát, Phường Tân Phú, Quận 9 (Thủ Đức)",
740400,GD cấp 3 Tô Hiến Thành,"353 Đường Tô Hiến Thành, Phường Số 12, Quận 10 (Chợ lớn)",
720300,GD cấp 3 Bình Triệu,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức",
736100,GD cấp 3 Bà Quẹo,"32/8 Đường Trường Chinh, Phường Số 15, Quận Tân Bình",
700052,HCM,HCM,
729700,GD cấp 3 Ngã Tư Ga,"Khu phố 3a, Phường Thạnh Lộc, Quận 12 (Hóc Môn)",
715000,GD cấp 3 Cây Dầu,"Ấp Cây Dầu, Phường Long Thạnh Mỹ, Quận 9 (Thủ Đức)",
720700,GD cấp 3 Tam Bình,"Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức",
752300,GD cấp 3 Phú Định,"47 Đường Bến Phú Định, Phường Số 16, Quận 8",
756600,GD cấp 3 Tân Phong,"382A/8 Khu phố 2, Phường Tân Phong, Quận 7 (Nhà Bè)",
720200,GD cấp 3 Hiệp Bình Phước,"604 Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức",
714100,GD cấp 3 Cát Lái,"Khu phố 2, Phường Cát Lái, Quận 2 (Thủ Đức)",
700300,KT cấp 1 Trung Tâm Sài Gòn,"2 Đường Công Xã Paris, Phường Bến Nghé, Quận 1",
738020,GD KT cấp 2 Khai Thác Vận Chuyển Bình Chánh,"E9/37 Khu phố 5, Thị trấn Tân Túc, Huyện Bình Chánh",
759110,GD cấp 3 Long Hòa,"Ấp Long Thạnh, Xã Long Hoà, Huyện Cần Giờ",
743010,GD cấp 3 Đầm Sen,"260B Đường Lạc Long Quân, Phường Số 10, Quận 11 (Chợ Lớn )",
743800,GD cấp 2 Quận 11,"244 Đường Minh Phụng, Phường Số 16, Quận 11 (Chợ Lớn )",
731100,GD cấp 3 Ngã Ba Bầu,"26 Ấp Đông, Xã Thới Tam Thôn, Huyện Hóc Môn",
739500,GD cấp 3 Bình Hưng,"38 Ấp 4, Xã Bình Hưng, Huyện Bình Chánh",
733800,GD cấp 3 An Nhơn Tây,"Ấp Chợ Củ, Xã An Nhơn Tây, Huyện Củ Chi",
760010,GD cấp 3 Tân Hương,"7/28A Đường Tân Hương, Phường Tân Quý, Quận Tân Phú",
721000,GD cấp 3 Bình Chiểu,"Đường Tĩnh Lộ 43 (Khu phố 1+2+3), Phường Bình Chiểu, Quận Thủ Đức",
733700,GD cấp 3 Bến Đình,"Ấp Bến Đình, Xã Nhuận Đức, Huyện Củ Chi",
740310,GD cấp 3 Sư Vạn Hạnh,"784 Đường Sư Vạn Hạnh, Phường Số 12, Quận 10 (Chợ lớn)",
720500,GD cấp 3 Linh Xuân,"10A Khu phố 4, Phường Linh Xuân, Quận Thủ Đức",
715400,GD cấp 3 Long Hòa,"Ấp Long Hòa, Phường Long Thạnh Mỹ, Quận 9 (Thủ Đức)",
756010,GD KT cấp 2 Khai Thác Vận Chuyển Nhà Bè,"81/1 Khu phố 1, Phường Phú Mỹ, Quận 7 (Nhà Bè)",
727400,GD cấp 3 Xóm Mới,"1/8 Đường Thống Nhất, Phường Số 15, Quận Gò Vấp",
746610,GD cấp 3 Phú Lâm,"487 Đường Nguyễn Văn Luông, Phường Số 12, Quận 6",
751000,GD cấp 3 Rạch Ông,"60 Đường Nguyễn Thị Tần, Phường Số 2, Quận 8",
727010,GD cấp 2 Gò Vấp,"555 Đường Lê Quang Định, Phường Số 1, Quận Gò Vấp",
729930,GD cấp 3 Tân thới nhất,"44/6 Khu phố 1, Phường Tân Thới Nhất, Quận 12 (Hóc Môn)",
729430,GD cấp 3 Hiệp Thành,"Khu phố 3, Phường Hiệp Thành, Quận 12 (Hóc Môn)",
736200,GD cấp 3 Lý Thường Kiệt,"174M Đường Lý Thường Kiệt, Phường Số 8, Quận Tân Bình",
700058,HCM,HCM,
710100,GD cấp 3 Bến Thành,"50 Đường Lê Lai, Phường Bến Thành, Quận 1",
710000,GD cấp 3 Nguyễn Đình Chiểu,"11 Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",
710700,GD cấp 3 Đa Kao,"19 Đường Trần Quang Khải, Phường Tân Định, Quận 1",
713100,GD cấp 3 An Khánh,"Đường Lương Định Của, Phường Bình An, Quận 2 (Thủ Đức)",
722700,GD cấp 3 Tú Xương,"6 Đường Tú Xương, Phường Số 7, Quận 3",
717700,GD cấp 3 Cầu Đỏ,"319A4 Đường Nơ Trang Long, Phường Số 13, Quận Bình Thạnh",
736500,GD cấp 3 Hòang Hoa Thám,"50 Đường Cộng Hòa, Phường Số 13, Quận Tân Bình",
744910,GD cấp 3 Phó Cơ Điều,"150 Đường Phó Cơ Điều, Phường Số 6, Quận 11 (Chợ Lớn )",
759130,GD cấp 3 Đồng Hoà,"Ấp Đồng Hòa, Xã Long Hoà, Huyện Cần Giờ",
700100,GD cấp 1 Giao Dịch Quốc Tế Sài Gòn,"117-119 Đường Hai Bà Trưng, Phường Bến Nghé, Quận 1",
749200,GD cấp 3 An Dương Vương,"537 Đường An Dương Vương, Phường Số 14, Quận 5",
734200,GD cấp 3 Trung Lập,"Ấp Trung Bình, Xã Trung Lập Thượng, Huyện Củ Chi",
763200,GD cấp 3 Bà Hom,"Đường Tĩnh Lộ 10, Phường Tân Tạo, Quận Bình Tân",
731500,GD cấp 3 Tân Thới Nhì,"1/127 Ấp Nhị Tân 1, Xã Tân Thới Nhì, Huyện Hóc Môn",
737300,GD cấp 3 Bảy Hiền,"32A Đường Lạc Long Quân, Phường Số 8, Quận Tân Bình",
747100,GD cấp 3 Bình Phú,"28-29G Đường 26, Phường Số 10, Quận 6",
763300,GD cấp 3 Tân Tạo,"Lô nhà S, Khu dân cư Bắc Lương Bèo, Phường Tân Tạo A, Quận Bình Tân",
743100,GD cấp 3 Lạc Long Quân,"509 Đường Lạc Long Quân, Phường Số 5, Quận 11 (Chợ Lớn )",
754000,GD cấp 2 Quận 4,"104 Đường Nguyễn Tất Thành, Phường Số 13, Quận 4",
725000,GD cấp 3 Lê Văn Sỹ,"245Pbis Đường Lê Văn Sỹ, Phường Số 14, Quận Phú Nhuận",
756200,GD cấp 3 Tân Thuận Đông,"Đường Tân Thuận, Khu chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7 (Nhà Bè)",
725060,GD cấp 2 Phú Nhuận,"241 Đường Phan Đình Phùng, Phường Số 15, Quận Phú Nhuận",
713000,GD cấp 3 An Điền,"Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2 (Thủ Đức)",
733000,GD cấp 2 Củ Chi,"Khu phố 2, Thị trấn Củ Chi, Huyện Củ Chi",
736000,GD cấp 3 Chí Hòa,"695-697 Đường Cách Mạng Tháng 8, Phường Số 6, Quận Tân Bình",
756240,GD cấp 3 Bùi Văn Ba,"49 Khu phố 2, Phường Tân Thuận Đông, Quận 7 (Nhà Bè)",
755000,GD cấp 3 Tôn Đản,"139-141 Đường Số 14, Phường Số 4, Quận 4",
763310,GD cấp 3 Tân Kiên,"A1/7 Đường Trần Đại Nghĩa, Phường Tân Tạo A, Quận Bình Tân",
720100,GD cấp 3 Bình Thọ,"378 Đường Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức",
700056,HCM,HCM,
749000,GD cấp 2 Quận 5,"26 Đường Nguyễn Thi, Phường Số 13, Quận 5",
722300,GD cấp 3 Nguyễn Văn Trỗi,"222bis Đường Lê Văn Sỹ, Phường Số 14, Quận 3",
739100,GD cấp 3 Ghisê 2 Chợ Bình Chánh,"Ấp 3, Xã Hưng Long, Huyện Bình Chánh",
736090,GD cấp 2 Tân Bình,"288A Đường Hòang Văn Thụ, Phường Số 4, Quận Tân Bình",
742000,GD cấp 3 Bà Hạt,"196 Đường Bà Hạt, Phường Số 9, Quận 10 (Chợ lớn)",
717200,GD cấp 3 Văn Thánh,"8 Đường Điện Biên Phủ, Phường Số 25, Quận Bình Thạnh",
754100,GD cấp 3 Khánh Hội,"52 Đường Lê Quốc Hưng, Phường Số 12, Quận 4",
738100,GD cấp 3 Vĩnh Lộc,"Ấp 4, Xã Vĩnh Lộc B, Huyện Bình Chánh",
748200,GD cấp 3 Hòa Bình,"101 Đường Bùi Hữu Nghĩa, Phường Số 5, Quận 5",
700059,HCM,HCM,
727900,GD cấp 3 Trưng Nữ Vương,"01 Đường Trưng Nữ Vương, Phường Số 4, Quận Gò Vấp",
727700,GD cấp 3 An Hội,"34/8C Đường Quang Trung, Phường Số 12, Quận Gò Vấp",
738400,GD cấp 3 Cầu Xáng,"Ấp 3, Xã Phạm Văn Hai, Huyện Bình Chánh",
763710,GD cấp 3 Mũi Tàu,"98 Đường An Dương Vương, Phường An Lạc A, Quận Bình Tân",
720130,GD KT cấp 2 Khai Thác Vận Chuyển Thủ Đức,"128A Khu phố 1, Phường Trường Thọ, Quận Thủ Đức",
751010,GD cấp 3 Xóm Củi,"63 Đường Đinh Hòa, Phường Số 11, Quận 8",
756110,GD cấp 3 Phú Mỹ,"697 Khu phố 1, Phường Phú Thuận, Quận 7 (Nhà Bè)",
740200,GD cấp 3 Hoà Hưng,"411 Đường Cách Mạng Tháng Tám, Phường Số 13, Quận 10 (Chợ lớn)",
750100,GD cấp 3 Lê Hồng Phong,"011 Dãy nhà 9 Tầng, Khu chung cư Phan Văn Trị, Phường Số 2, Quận 5",
720400,GD cấp 3 Linh Trung,"16 Khu phố 4, Phường Linh Trung, Quận Thủ Đức",
734900,GD cấp 3 Tân Trung,"Ấp 12, Xã Tân Thạnh Đông, Huyện Củ Chi",
701055,CPN_HCM,CPN_HCM,
752800,GD cấp 3 Chánh Hưng,"Lô nhà A, Khu chung cư Phạm Thế Hiển, Phường Số 4, Quận 8",
740500,GD cấp 2 Quận 10,"157 Đường Lý Thái Tổ, Phường Số 9, Quận 10 (Chợ lớn)",
751600,GD cấp 3 Nguyễn Thị Tần,"8N Đường Nguyễn Thị Tần, Phường Số 2, Quận 8",
763700,GD cấp 3 An Lạc,"164 Đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân",
758600,GD cấp 3 Phú Xuân,"22/8 Ấp 4, Xã Phú Xuân, Huyện Nhà Bè",
759000,GD cấp 2 Cần Giờ,"Khu phố Giồng Ao, Thị trấn Cần Thạnh, Huyện Cần Giờ",
759600,GD cấp 3 Bình Khánh,"Ấp Bình Phước, Xã Bình Khánh, Huyện Cần Giờ",
738300,GD cấp 3 Lê Minh Xuân,"Ấp 6, Xã Lê Minh Xuân, Huyện Bình Chánh",
717400,GD cấp 3 Thanh Đa,"138A Đường Bình Quới, Phường Số 27, Quận Bình Thạnh",
722200,GD cấp 3 Bàn Cờ,"49A Đường Cao Thắng, Phường Số 3, Quận 3",
748500,GD cấp 3 Hùng Vương,"1 Đường Hùng Vương, Phường Số 4, Quận 5",
722100,GD cấp 3 Vườn Xoài,"472 Đường Lê Văn Sỹ, Phường Số 14, Quận 3",
746000,GD cấp 3 Minh Phụng,"277 Đường Hậu Giang, Phường Số 5, Quận 6",
751100,GD cấp 3 Dã Tượng,"1B Lô nhà 1, Khu dân cư Hưng Phú, Phường Số 10, Quận 8",
752950,GD cấp 3 Đồng Diều,"004 Lô nhà H, Khu chung cư Đồng Diều, Phường Số 4, Quận 8",
748110,GD KT cấp 2 Khai Thác Vận Chuyển Chợ Lớn,"26 Đường Nguyễn Thi, Phường Số 13, Quận 5",
748010,GD cấp 3 Nguyễn Tri Phương,"137 Đường Nguyễn Tri Phương, Phường Số 8, Quận 5",
700053,HCM,HCM,
734300,GD cấp 3 Phước Thạnh,"Ấp Chợ, Xã Phước Thạnh, Huyện Củ Chi",
760400,GD cấp 3 Gò Dầu,"23 Lô nhà A, Khu chung cư Gò Dầu 2, Phường Tân Sơn Nhì, Quận Tân Phú",
734800,GD cấp 3 Tân Phú Trung,"Ấp Đình, Xã Tân Phú Trung, Huyện Củ Chi",
747400,GD cấp 2 Quận 6,"88-90 Đường Tháp Mười, Phường Số 2, Quận 6",
731000,GD cấp 2 Bưu Điện Trung Tâm Hóc Môn,"57/7 Khu phố 5, Thị trấn Hóc Môn, Huyện Hóc Môn",
710020,GD cấp 3 Lê Lợi,"2C Đường Lê Lợi, Phường Bến Nghé, Quận 1",
733030,GD KT cấp 2 Khai Thác Vận Chuyển Củ Chi,"Khu phố 2, Thị trấn Củ Chi, Huyện Củ Chi",
748100,GD cấp 3 An Đông,"34-36 Đường An Dương Vương, Phường Số 9, Quận 5",
759100,GD cấp 3 Hòa Hiệp,"Ấp Hòa Hiệp, Xã Long Hoà, Huyện Cần Giờ",
738000,GD cấp 2 Bình Chánh,"E9/37 Khu phố 5, Thị trấn Tân Túc, Huyện Bình Chánh",
740300,GD cấp 3 Ngã Sáu Dân Chủ,"1E Đường 3 Tháng 2, Phường Số 11, Quận 10 (Chợ lớn)",
728100,GD cấp 3 Lê Văn Thọ,"56 Đường Cây Trâm, Phường Số 11, Quận Gò Vấp",
748000,GD cấp 3 Nguyễn Trãi,"49 Đường Nguyễn Trãi, Phường Số 2, Quận 5",
758000,GD cấp 3 Thị Trấn Nhà Bè,"462 Khu phố 4, Thị trấn Nhà Bè, Huyện Nhà Bè",
713110,GD cấp 3 Tân Lập,"661 Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2 (Thủ Đức)",
717066,GD cấp 2 Bình Thạnh,"3 Đường Phan Đăng Lưu, Phường Số 3, Quận Bình Thạnh",
729400,GD cấp 3 Tân Thới Hiệp,"Khu phố 1, Phường Tân Thới Hiệp, Quận 12 (Hóc Môn)",
731700,GD cấp 3 Nhị Xuân,"Ấp 6, Xã Xuân Thới Thượng, Huyện Hóc Môn",
748600,GD cấp 2 Giao Dịch Quốc Tế Chợ Lớn,"3 Đường Mạc Cửu, Phường Số 13, Quận 5",
754500,GD cấp 3 Nguyễn Khoái,"39 Đường Nguyễn Khoái, Phường Số 1, Quận 4",
744900,GD cấp 3 Trần Qúy,"112-114 Đường Trần Quý, Phường Số 6, Quận 11 (Chợ Lớn )",
759010,GD cấp 3 Cần Thạnh,"Khu phố Phong Thạnh, Thị trấn Cần Thạnh, Huyện Cần Giờ",
736600,GD cấp 3 Tân Sơn Nhất,"2B/2 Đường Bạch Đằng, Phường Số 2, Quận Tân Bình",
741900,GD cấp 3 Ngô Gia Tự,"039 Lô nhà B, Khu chung cư Ngô Gia Tự, Phường Số 3, Quận 10 (Chợ lớn)",
721400,GD cấp 2 Thủ Đức,"128A Khu phố 1, Phường Trường Thọ, Quận Thủ Đức",
733900,GD cấp 3 An Phú,"Ấp An Hòa, Xã An Phú, Huyện Củ Chi",
716040,GD cấp 3 Phước Bình,"45 Đường Đại Lộ Ii, Phường Phước Bình, Quận 9 (Thủ Đức)",
736400,GD cấp 3 Phạm Văn Hai,"130/C10 Hẻm 130c, Đường Phạm Văn Hai, Phường Số 2, Quận Tân Bình",
756000,GD cấp 3 Tân Thuận,"KE42,43 Khu phố 3, Phường Tân Thuận Tây, Quận 7 (Nhà Bè)",
747200,GD cấp 3 Phạm Văn Chí,"331 Đường Phạm Văn Chí, Phường Số 3, Quận 6",
718500,GD cấp 3 Hàng Xanh,"283 Đường Xô Viết Nghệ Tỉnh, Phường Số 15, Quận Bình Thạnh",
739400,GD cấp 3 Phong Phú,"Ấp 4, Xã Phong Phú, Huyện Bình Chánh",
760310,GD cấp 3 Tây Thạnh,"51/20 Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú",
738010,GD cấp 3 Chợ Đệm,"Khu phố 1, Thị trấn Tân Túc, Huyện Bình Chánh",
738800,GD cấp 3 Chợ Bình Chánh,"1C Ấp 4, Xã Bình Chánh, Huyện Bình Chánh",
762800,GD cấp 3 Bình Trị Đông,"C12/14 Tổ 303, Khu phố 16, Phường Bình Trị Đông, Quận Bình Tân",
743500,GD cấp 3 Tôn Thất Hiệp,"34-36 Đường Tôn Thất Hiệp, Phường Số 13, Quận 11 (Chợ Lớn )",
722000,GD cấp 2 Quận 3,"2 Đường Bà Huyện Thanh Quan, Phường Số 6, Quận 3",
763100,GD cấp 3 Hồ Học Lãm,"E2/19 Tổ 109, Khu phố 5, Phường Bình Trị Đông B, Quận Bình Tân",
736300,GD cấp 3 Bàu Cát,"45-46 Đường Nguyễn Hồng Đào, Phường Số 13, Quận Tân Bình",
727110,GD cấp 3 Bến Cát,"62 Đường Dương Quảng Hàm, Phường Số 7, Quận Gò Vấp",
739210,GD cấp 3 Quy Đức,"A7/31 Ấp 1, Xã Quy Đức, Huyện Bình Chánh",
762000,GD cấp 3 Bình Hưng Hòa,"Tổ 75, Khu phố 4, Phường Bình Hưng Hòa, Quận Bình Tân",
760000,GD cấp 3 Tân Phú,"90 Lô nhà B, Khu chung cư Tân Phú, Phường Phú Thọ Hòa, Quận Tân Phú",
763220,GD cấp 3 Ghi sê 2 Bình An,"21 Tổ 12, Cụm Dân Cư Bình Trị Đông, Phường Tân Tạo, Quận Bình Tân",
758310,GD cấp 3 Long Thới,"Ấp 1, Xã Nhơn Đức, Huyện Nhà Bè",
760820,GD cấp 3 Phú Thọ Hòa,"15 Đường Thạch Lam, Phường Hiệp Tân, Quận Tân Phú",
743000,GD cấp 3 Lữ Gia,"2/12 Hẻm 2, Đường Lữ Gia, Phường Số 15, Quận 11 (Chợ Lớn )",
762300,GD cấp 3 Bốn Xã,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân",
702000,TT DVKH-HCM,36 Bis Ba Vi F4 Quan Tan Binh,838458999
702001,Ghi sê Ba vì,"36 Bis Ba vì , F.4, Q.TB",838458999
702003,Ghi sê Hoàng Diệu,71 Nguyễn Thái Bình Q.1,838268841
702005,Ghi Sê Chợ Lớn,1336 Đường 3/2 Q.11,839698221
702007,Đội Giao Nhận 2,"36 Bis Ba Vì ,F.4, Q.TB",838458999
702008,Ghi Sê Bình Thạnh,235 Nơ Trang Long Q.BT,835166733
703001,Dai Ly Trinh Thai ha,610 Phan Văn Trị Q.5 TP.HCM,839239240
703002,Dai Ly AnPha,"6 Sông Đáy Q.tân Bình, TP.HCM",838489394
701001,TTDV KH (GHISE- 36 BIS BA VI),36 Bis Ba Vi F4 Quan Tan Binh,838458999
701002,DOI PHAT HANG TB,36 Bis Ba Vi F4 Quan Tan Binh,838458999
701003,"DOI PHAT SG (1,4,7)",71 Nguyễn Thái Bình Q.1,838268841
701004,TT PHAT (HCM1),36 Bis Ba Vi F4 Quan Tan Binh,838458999
701005,"DOI PHAT CL (5,6,8,11)",1336 Đường 3/2 Q.11,839698221
701006,"DOI PHAT TB (Q3,GV,TP,Q10,TB)",36 Bis Ba Vi F4 Quan Tan Binh,838458999
701007,GIAO NHAN 2 (TB),36 Bis Ba Vi F4 Quan Tan Binh,838458999
701008,"DOI PHAT BT (BT,PN)",235 Nơ Trang Long Q.BT,835166733
701009,GIAO NHAN 1 (SG),71 Nguyễn Thái Bình Q.1,838268841